,Lambda,MSE,MSE_formula
0,7.0,8.530269827829916e-06,8.530269827829916e-06
1,7.0201005025126,1.1559748817555357e-06,1.1559748817555357e-06
2,7.0402010050251,1.5966603425723942e-07,1.5966603425723942e-07
3,7.0603015075377,2.4002818320176702e-06,2.4002818320176702e-06
4,7.0804020100503,5.8248958117191725e-06,5.8248958117191725e-06
5,7.1005025125628,9.187183912327152e-06,9.187183912327152e-06
6,7.1206030150754,1.1816212736333539e-05,1.1816212736333539e-05
7,7.1407035175879,1.3410877169429997e-05,1.3410877169429997e-05
8,7.1608040201005,1.394917271192766e-05,1.394917271192766e-05
9,7.1809045226131,1.3554514193956024e-05,1.3554514193956024e-05
10,7.2010050251256,1.240977746487527e-05,1.240977746487527e-05
11,7.2211055276382,1.0799628185539944e-05,1.0799628185539944e-05
12,7.2412060301508,8.927899029335592e-06,8.927899029335592e-06
13,7.2613065326633,6.995965756349769e-06,6.995965756349769e-06
14,7.2814070351759,5.169976323729463e-06,5.169976323729463e-06
15,7.3015075376884,3.5324602852307456e-06,3.5324602852307456e-06
16,7.321608040201,2.2076493067244704e-06,2.2076493067244704e-06
17,7.3417085427136,1.2051193892313004e-06,1.2051193892313004e-06
18,7.3618090452261,5.242534198362813e-07,5.242534198362813e-07
19,7.3819095477387,1.520397626864966e-09,1.520397626864966e-09
20,7.4020100502513,8.55613403387057e-08,8.55613403387057e-08
21,7.4221105527638,3.498147988511416e-07,3.498147988511416e-07
22,7.4422110552764,7.42640198492239e-07,7.42640198492239e-07
23,7.4623115577889,1.1873023791343738e-06,1.1873023791343738e-06
24,7.4824120603015,1.6414936418126457e-06,1.6414936418126457e-06
25,7.5025125628141,2.0263315891806e-06,2.0263315891806e-06
26,7.5226130653266,2.3456048877412462e-06,2.3456048877412462e-06
27,7.5427135678392,2.5280211124972157e-06,2.5280211124972157e-06
28,7.5628140703518,2.6111265731469704e-06,2.6111265731469704e-06
29,7.5829145728643,2.5413936812097577e-06,2.5413936812097577e-06
30,7.6030150753769,2.4244170400208747e-06,2.4244170400208747e-06
31,7.6231155778894,2.1440217207047955e-06,2.1440217207047955e-06
32,7.643216080402,1.8170507143662235e-06,1.8170507143662235e-06
33,7.6633165829146,1.4236572760761786e-06,1.4236572760761786e-06
34,7.6834170854271,1.043160346749296e-06,1.043160346749296e-06
35,7.7035175879397,6.849301301898111e-07,6.849301301898111e-07
36,7.7236180904523,3.638654096458495e-07,3.638654096458495e-07
37,7.7437185929648,1.3940537045075688e-07,1.3940537045075688e-07
38,7.7638190954774,1.7207778407250288e-08,1.7207778407250288e-08
39,7.78391959799,1.693975789849976e-08,1.693975789849976e-08
40,7.8040201005025,1.2792849294810252e-07,1.2792849294810252e-07
41,7.8241206030151,3.789926497234278e-07,3.789926497234278e-07
42,7.8442211055276,7.609943456733752e-07,7.609943456733752e-07
43,7.8643216080402,1.2891976675637042e-06,1.2891976675637042e-06
44,7.8844221105528,1.910902998949207e-06,1.910902998949207e-06
45,7.9045226130653,2.6189839632287753e-06,2.6189839632287753e-06
46,7.9246231155779,3.3937191413305683e-06,3.3937191413305683e-06
47,7.9447236180905,4.2594632688639285e-06,4.2594632688639285e-06
48,7.964824120603,5.092251253353258e-06,5.092251253353258e-06
49,7.9849246231156,5.909310402513793e-06,5.909310402513793e-06
50,8.0050251256281,6.682993397481159e-06,6.682993397481159e-06
51,8.0251256281407,7.388974426264166e-06,7.388974426264166e-06
52,8.0452261306533,7.99375518198185e-06,7.99375518198185e-06
53,8.0653266331658,8.502278948539825e-06,8.502278948539825e-06
54,8.0854271356784,8.873985518536224e-06,8.873985518536224e-06
55,8.105527638191,9.108703217306599e-06,9.108703217306599e-06
56,8.1256281407035,9.196442451848484e-06,9.196442451848484e-06
57,8.1457286432161,9.137270775879831e-06,9.137270775879831e-06
58,8.1658291457286,8.936531009272109e-06,8.936531009272109e-06
59,8.1859296482412,8.598511939215e-06,8.598511939215e-06
60,8.2060301507538,8.136166127714727e-06,8.136166127714727e-06
61,8.2261306532663,7.565680395409287e-06,7.565680395409287e-06
62,8.2462311557789,6.914369629547117e-06,6.914369629547117e-06
63,8.2663316582915,5.835223494115793e-06,5.835223494115793e-06
64,8.286432160804,4.953996198073348e-06,4.953996198073348e-06
65,8.3065326633166,4.056869566359264e-06,4.056869566359264e-06
66,8.3266331658291,3.21645436624516e-06,3.21645436624516e-06
67,8.3467336683417,2.405276436734682e-06,2.405276436734682e-06
68,8.3668341708543,1.6759788809985093e-06,1.6759788809985093e-06
69,8.3869346733668,1.0130395140031866e-06,1.0130395140031866e-06
70,8.4070351758794,5.294723707936044e-07,5.294723707936044e-07
71,8.427135678392,1.948644444226679e-07,1.948644444226679e-07
72,8.4472361809045,2.237477008891525e-08,2.237477008891525e-08
73,8.4673366834171,2.1171749169811486e-08,2.1171749169811486e-08
74,8.4874371859296,2.1573175038366768e-07,2.1573175038366768e-07
75,8.5075376884422,5.733033376766353e-07,5.733033376766353e-07
76,8.5276381909548,1.097794411286138e-06,1.097794411286138e-06
77,8.5477386934673,2.0439192551889867e-06,2.0439192551889867e-06
78,8.5678391959799,2.6885900157247454e-06,2.6885900157247454e-06
79,8.5879396984925,3.644091339545748e-06,3.644091339545748e-06
80,8.608040201005,5.144661512751458e-06,5.144661512751458e-06
81,8.6281407035176,4.351178217395481e-06,4.351178217395481e-06
82,8.6482412060301,5.322892790146862e-06,5.322892790146862e-06
83,8.6683417085427,6.332663721004844e-06,6.332663721004844e-06
84,8.6884422110553,7.502889154519531e-06,7.502889154519531e-06
85,8.7085427135678,8.767815745535583e-06,8.767815745535583e-06
86,8.7286432160804,9.680922872386096e-06,9.680922872386096e-06
87,8.748743718593,1.0704921178970495e-05,1.0704921178970495e-05
88,8.7688442211055,1.1465104137185718e-05,1.1465104137185718e-05
89,8.7889447236181,1.2116020060909945e-05,1.2116020060909945e-05
90,8.8090452261307,1.417548563621139e-05,1.417548563621139e-05
91,8.8291457286432,1.4230946266834347e-05,1.4230946266834347e-05
92,8.8492462311558,1.4346486786508729e-05,1.4346486786508729e-05
93,8.8693467336683,1.3926352705864215e-05,1.3926352705864215e-05
94,8.8894472361809,1.3594154259282064e-05,1.3594154259282064e-05
95,8.9095477386935,1.2833349878564974e-05,1.2833349878564974e-05
96,8.929648241206,1.2687102584944055e-05,1.2687102584944055e-05
97,8.9497487437186,1.0937191473451271e-05,1.0937191473451271e-05
98,8.9698492462312,9.958100491014605e-06,9.958100491014605e-06
99,8.9899497487437,8.88397066127339e-06,8.88397066127339e-06
100,9.0100502512563,8.129873670994132e-06,8.129873670994132e-06
101,9.0301507537688,6.697701942837672e-06,6.697701942837672e-06
102,9.0502512562814,5.554547644928906e-06,5.554547644928906e-06
103,9.070351758794,4.200107775515633e-06,4.200107775515633e-06
104,9.0904522613065,3.0961215334477013e-06,3.0961215334477013e-06
105,9.1105527638191,2.115005003342133e-06,2.115005003342133e-06
106,9.1306532663317,1.2030746577725115e-06,1.2030746577725115e-06
107,9.1507537688442,5.932178569705895e-07,5.932178569705895e-07
108,9.1708542713568,1.49741594554242e-07,1.49741594554242e-07
109,9.1909547738693,1.3583063948180771e-09,1.3583063948180771e-09
110,9.2110552763819,9.977951257376511e-08,9.977951257376511e-08
111,9.2311557788945,5.184457672054918e-07,5.184457672054918e-07
112,9.251256281407,1.1619537017452498e-06,1.1619537017452498e-06
113,9.2713567839196,2.274088849632533e-06,2.274088849632533e-06
114,9.2914572864322,3.54793209048345e-06,3.54793209048345e-06
115,9.3115577889447,4.716782841369378e-06,4.716782841369378e-06
116,9.3316582914573,6.59054654477404e-06,6.59054654477404e-06
117,9.3517587939699,6.056064908991501e-06,6.056064908991501e-06
118,9.3718592964824,7.845026111265423e-06,7.845026111265423e-06
119,9.391959798995,9.82684896531884e-06,9.82684896531884e-06
120,9.4120603015075,1.1484075617910807e-05,1.1484075617910807e-05
121,9.4321608040201,1.3496729650361165e-05,1.3496729650361165e-05
122,9.4522613065327,1.5168643759558335e-05,1.5168643759558335e-05
123,9.4723618090452,1.691247618907855e-05,1.691247618907855e-05
124,9.4924623115578,1.8272365718473796e-05,1.8272365718473796e-05
125,9.5125628140704,1.9473146899923813e-05,1.9473146899923813e-05
126,9.5326633165829,2.094098850660358e-05,2.094098850660358e-05
127,9.5527638190955,2.1611096493973256e-05,2.1611096493973256e-05
128,9.572864321608,2.2020463205093693e-05,2.2020463205093693e-05
129,9.5929648241206,2.2160941884553714e-05,2.2160941884553714e-05
130,9.6130653266332,2.177221161006158e-05,2.177221161006158e-05
131,9.6331658291457,2.173711571970999e-05,2.173711571970999e-05
132,9.6532663316583,2.0940069865957498e-05,2.0940069865957498e-05
133,9.6733668341709,1.9563975008911785e-05,1.9563975008911785e-05
134,9.6934673366834,1.8225469732271776e-05,1.8225469732271776e-05
135,9.713567839196,1.6700447996908203e-05,1.6700447996908203e-05
136,9.7336683417085,1.4684814701648336e-05,1.4684814701648336e-05
137,9.7537688442211,1.2900239712154415e-05,1.2900239712154415e-05
138,9.7738693467337,1.1070217691632255e-05,1.1070217691632255e-05
139,9.7939698492462,9.238089660841987e-06,9.238089660841987e-06
140,9.8140703517588,7.514475135833501e-06,7.514475135833501e-06
141,9.8341708542714,5.835009285784132e-06,5.835009285784132e-06
142,9.8542713567839,4.30987544955435e-06,4.30987544955435e-06
143,9.8743718592965,2.8177866628929147e-06,2.8177866628929147e-06
144,9.894472361809,1.7447834631884998e-06,1.7447834631884998e-06
145,9.9145728643216,9.170717682709652e-07,9.170717682709652e-07
146,9.9346733668342,3.060002446777884e-07,3.060002446777884e-07
147,9.9547738693467,3.7978085274360796e-08,3.7978085274360796e-08
148,9.9748743718593,2.5202879412694333e-08,2.5202879412694333e-08
149,9.9949748743719,2.866910076695757e-07,2.866910076695757e-07
150,10.015075376884,7.412917451936611e-07,7.412917451936611e-07
151,10.035175879397,1.4438289336301456e-06,1.4438289336301456e-06
152,10.05527638191,2.208979317205203e-06,2.208979317205203e-06
153,10.075376884422,3.0557816399463565e-06,3.0557816399463565e-06
154,10.095477386935,4.0367593733226695e-06,4.0367593733226695e-06
155,10.115577889447,4.894700800374672e-06,4.894700800374672e-06
156,10.13567839196,5.698655893945926e-06,5.698655893945926e-06
157,10.155778894472,6.479881361663005e-06,6.479881361663005e-06
158,10.175879396985,7.349536144775953e-06,7.349536144775953e-06
159,10.195979899497,7.752423255127342e-06,7.752423255127342e-06
160,10.21608040201,8.016799756548522e-06,8.016799756548522e-06
161,10.236180904523,8.040706818877493e-06,8.040706818877493e-06
162,10.256281407035,7.91635214979839e-06,7.91635214979839e-06
163,10.276381909548,7.573597162565343e-06,7.573597162565343e-06
164,10.29648241206,7.093566808246517e-06,7.093566808246517e-06
165,10.316582914573,6.497326556051067e-06,6.497326556051067e-06
166,10.336683417085,5.813127208914624e-06,5.813127208914624e-06
167,10.356783919598,5.087075833719195e-06,5.087075833719195e-06
168,10.376884422111,4.587480870752856e-06,4.587480870752856e-06
169,10.396984924623,3.849191623322612e-06,3.849191623322612e-06
170,10.417085427136,3.16170456043225e-06,3.16170456043225e-06
171,10.437185929648,2.556816258427703e-06,2.556816258427703e-06
172,10.457286432161,2.021791854993852e-06,2.021791854993852e-06
173,10.477386934673,1.600871926412694e-06,1.600871926412694e-06
174,10.497487437186,1.396186889634581e-06,1.396186889634581e-06
175,10.517587939698,1.131991648216253e-06,1.131991648216253e-06
176,10.537688442211,9.661349964022738e-07,9.661349964022738e-07
177,10.557788944724,8.656969828879049e-07,8.656969828879049e-07
178,10.577889447236,8.529238939844018e-07,8.529238939844018e-07
179,10.597989949749,1.0136805323179106e-06,1.0136805323179106e-06
180,10.618090452261,1.1625555485997156e-06,1.1625555485997156e-06
181,10.638190954774,1.4340618009109355e-06,1.4340618009109355e-06
182,10.658291457286,1.8214587816298742e-06,1.8214587816298742e-06
183,10.678391959799,2.517409726806758e-06,2.517409726806758e-06
184,10.698492462312,3.2021454063222685e-06,3.2021454063222685e-06
185,10.718592964824,3.941496671704578e-06,3.941496671704578e-06
186,10.738693467337,4.3292283728191e-06,4.3292283728191e-06
187,10.758793969849,2.4396508156591404e-06,2.4396508156591404e-06
188,10.778894472362,1.5316529570980374e-05,1.5316529570980374e-05
189,10.798994974874,1.5178304329747063e-05,1.5178304329747063e-05
190,10.819095477387,1.5573476947978014e-05,1.5573476947978014e-05
191,10.839195979899,1.5419795523704534e-05,1.5419795523704534e-05
192,10.859296482412,1.4440074865821915e-05,1.4440074865821915e-05
193,10.879396984925,1.2117845809344344e-05,1.2117845809344344e-05
194,10.899497487437,8.723509905481924e-06,8.723509905481924e-06
195,10.91959798995,4.203197042344414e-06,4.203197042344414e-06
196,10.939698492462,5.361266439508217e-07,5.361266439508217e-07
197,10.959798994975,1.1640759755105821e-06,1.1640759755105821e-06
198,10.979899497487,1.2788337953733439e-05,1.2788337953733439e-05
199,11.0,4.7091884391102994e-05,4.7091884391102994e-05
